num_of_nodes,RMSE,MAE
1,43.084774614634604,32.72876516882579
2,41.4315959123251,31.042237832387286
3,37.34120748036105,27.161955948829654
4,20.200812102659714,11.82178472222543
5,19.040948668671,9.940211529739512
6,18.10043943747123,10.254725852991145
7,18.46555611516624,10.387372846954191
8,18.29930745157017,10.126238996200263
9,23.71699719749807,15.733244014283022
10,18.418744871659463,9.499687554558118
11,18.452468379142974,9.573042716647187
12,18.561888823674717,9.168701652487119
13,19.51132622883283,10.529961810195816
14,18.542191181872607,9.157724163810412
15,17.421315019108015,9.109122069900236
16,18.154948473450535,9.784778524612387
17,19.299251981313592,10.31257734690327
18,18.293970212887977,9.195299024283885
19,22.313673332600143,14.103516595491518
20,18.36635679210459,10.034813317855198
21,18.448650584978736,9.306464239631158
22,21.293273960517396,12.976491233487925
23,19.898027655428617,11.70531938361873
24,20.936389481495617,12.755706555704277
25,18.563756071624894,9.184409136970837
26,18.80462536659114,9.966341080675523
27,18.87769944405291,9.728671584039928
28,19.23890453613902,9.917907314876715
29,18.564553724442934,9.52935119528075
30,19.00818225799655,9.305665071407955
31,19.107874181433107,9.701481755624215
32,18.68364362407139,9.264152983665467
33,18.31439789174225,9.647271729558705
34,18.145937963099758,9.361024435629446
35,18.099239906518626,9.226487479254603
36,18.464522158198204,9.908649306751789
37,18.55625886245346,9.213880809148153
38,19.318064875460234,10.713741714169581
39,17.852184447045303,8.96483068150282
40,18.13487422128528,8.90408806304137
41,18.106826174299425,9.087655540615321
42,18.1580007612433,10.176371325254442
43,18.133663087054252,8.954070812910794
44,17.98660234098804,8.802152062455812
45,17.741137267107852,9.153077037582795
46,18.34036133193829,9.32931562735994
47,17.725255897447607,9.598431880498927
48,17.875774625298604,9.046429910778999
49,18.0565037849305,9.667746075273802
50,18.3785656865712,9.112343690246343
51,18.11337130396188,9.25424968086245
52,17.761058779069298,9.52777646968762
53,17.995092486186362,9.045355959852536
54,17.356441317911624,9.205609518283358
55,17.454835788889746,9.503395780533552
56,17.914011908724312,9.473635093063427
57,18.138915256127085,8.888137048244475
58,18.171870764465964,9.019890415887039
59,17.855325349603724,9.160010412255923
60,17.44810605641151,9.086061279358963
61,17.7201800079208,9.483242058114458
62,17.807364974721683,9.233198553258243
63,18.66462800131008,9.356103767837087
64,17.677336577516254,9.217540205960473
65,18.171374022828008,9.496258419113852
66,17.95083875342252,8.956285773734251
67,18.211713863479496,9.33429958607753
68,18.298901223679135,9.392240455623716
69,17.373278448551844,9.408336449886361
70,18.158033084079662,9.04184756364425
71,17.879335177307528,8.955500187615554
72,18.331318886564947,9.39364958758528
73,17.962104395889614,9.35643540520221
74,18.695688766235797,9.253913195381562
75,18.316978301844397,9.038906678378583
76,18.307568076861035,9.121936239411433
77,18.154449007287926,8.757371262470881
78,18.743794016156105,9.81827741294851
79,18.16862302137369,8.948032626459996
80,18.229634825122712,9.069804521262645
81,17.97922009521631,9.172012364263336
82,17.99219537322995,9.466019163449605
83,18.06085156064512,9.1218198535045
84,17.95593394347134,9.229523162215948
85,18.315778086990463,9.206066439370314
86,18.037544629818168,9.846430903219927
87,18.375944836684816,9.251589400756481
88,18.12354558755488,10.549973604756717
89,17.849493079276243,9.199620140885314
90,17.68272274529063,9.189036714076453
91,18.5461068113436,9.815261002242565
92,17.860471129836604,9.096780105104049
93,17.83530729173395,9.048751790344715
94,18.132652932392574,9.031714069167773
95,18.319417977351566,9.093385323047636
96,17.51498698300356,9.097833915439745
97,18.04970800103693,8.948428308725356
98,17.81121722011665,9.17381121248131
99,17.925442974849556,9.262327416857083
100,17.716046039752282,9.461795378550887
